,year,month,rides
0,2013,07,843416
1,2013,08,1001958
2,2013,09,1034359
3,2013,10,1037712
4,2013,11,675774
5,2013,12,443966
6,2014,01,300400
7,2014,02,224736
8,2014,03,439117
9,2014,04,670780
10,2014,05,866117
11,2014,06,936880
12,2014,07,968842
13,2014,08,963489
14,2014,09,953887
15,2014,10,828711
16,2014,11,529188
17,2014,12,399069
18,2015,01,285552
19,2015,02,196930
20,2015,03,341826
21,2015,04,652390
22,2015,05,961986
23,2015,06,941219
24,2015,07,1085676
25,2015,08,1179044
26,2015,09,1289699
27,2015,10,1212277
28,2015,11,987245
29,2015,12,804125
30,2016,01,509478
31,2016,02,560874
32,2016,03,919921
33,2016,04,1013149
34,2016,05,1212280
35,2016,06,1460318
36,2016,07,1380110
37,2016,08,1557663
38,2016,09,1648856
39,2016,10,1573872
40,2016,11,1196942
41,2016,12,812192
42,2017,01,726676
43,2017,02,791647
44,2017,03,727665
45,2017,04,1315404
46,2017,05,1523268
47,2017,06,1731594
48,2017,07,1735599
49,2017,08,1816498
50,2017,09,1878098
51,2017,10,1897592
52,2017,11,1330649
53,2017,12,889967
54,2018,01,718984
